Comment,Designator,Footprint,LCSC
22n,C16,C_0402_1005Metric,C107026
USB_C_Receptacle_USB2.0,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C136423
1k,"R6,R7,R8",R_0402_1005Metric,C144789
10k,"R1,R4",R_0402_1005Metric,C144807
I2C,J5,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,C145961
600Z,FB1,L_0603_1608Metric,C19330
74LVC1G17GW,"U4,U6,U7",SOT-353_SC-70-5,C202202
100R,R9,R_0402_1005Metric,C25076
120R,R5,R_0402_1005Metric,C25079
GCode_Buttons_A,"J2,J3",JUSHUO AFC11-S08ICC-00,C262301
B2B-XH-A-GU,J4,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,C265283
NUP2105LT1G,D1,SOT-23,C2976509
SWD,J7,C145962,C145962
SPI,J6,C145963,C145963
SW_Push,"SW1,SW2",SW_SPST_1TS003B-1400-3500A-CT,C319392
10nF,C8,C_0402_1005Metric,C327025
4u7,"C11,C6",C_0402_1005Metric,C368809
TLV74333PDBVR,U5,SOT-23-5,C408972
2u2,C15,C_0402_1005Metric,C415540
MHT136UBCT,D3,LED_0402_1005Metric,C401112
MHT136CGCT,D2,LED_0402_1005Metric,C401111
CAN,JP2,PinHeader_1x02_P2.54mm_Vertical,C492401
1uF/10V,"C14,C2,C3,C9",C_0402_1005Metric,C528974
100nF,"C1,C10,C12,C13,C17,C18,C19,C20,C4,C5,C7",C_0402_1005Metric,C60474
red,D4,LED_0402_1005Metric,C71911
MCP2551-I-SN,U2,SOIC-8_3.9x4.9mm_P1.27mm,C7376
USBLC6-2SC6,U3,SOT-23-6,C7519
SK6805,D5,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,C784561
STM32F072C8T6,U1,LQFP-48_7x7mm_P0.5mm,C80488
