Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,127.25,-99.85,90.0,top
C2,1uF/10V,C_0402_1005Metric,104.45,-106.65,-90.0,top
C3,1uF/10V,C_0402_1005Metric,106.95,-106.65,90.0,top
C4,100nF,C_0402_1005Metric,112.85,-104.8,180.0,top
C5,100nF,C_0402_1005Metric,122.75,-97.3,0.0,top
C6,4u7,C_0402_1005Metric,122.75,-96.25,0.0,top
C7,100nF,C_0402_1005Metric,122.75,-95.2,0.0,top
C8,10nF,C_0402_1005Metric,115.95,-95.2,180.0,top
C9,1uF/10V,C_0402_1005Metric,115.95,-94.15,180.0,top
C10,100nF,C_0402_1005Metric,122.75,-104.75,0.0,top
C11,4u7,C_0402_1005Metric,122.75,-105.8,0.0,top
C12,100nF,C_0402_1005Metric,135.65,-103.7,90.0,top
C13,100n,C_0402_1005Metric,109.8,-102.3,180.0,top
C14,1uF/10V,C_0402_1005Metric,108.65,-94.15,0.0,top
C15,2u2,C_0402_1005Metric,110.85,-94.15,180.0,top
C16,22n,C_0402_1005Metric,112.4,-96.85,90.0,top
C17,100nF,C_0402_1005Metric,118.5,-95.2,0.0,top
C18,100n,C_0402_1005Metric,109.8,-106.2,180.0,top
C19,100n,C_0402_1005Metric,113.5,-106.2,0.0,top
C20,100n,C_0402_1005Metric,121.5,-108.05,90.0,top
D1,NUP2105LT1G,SOT-23,141.5,-100.0,0.0,top
D2,MHT136CGCT,LED_0402_1005Metric,142.9,-97.05,-90.0,top
D3,MHT136UBCT,LED_0402_1005Metric,142.9,-102.95,90.0,top
D4,red,LED_0402_1005Metric,112.0,-90.6,180.0,top
D5,SK6805,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,118.95,-108.55,180.0,top
FB1,600Z,L_0603_1608Metric,105.7,-106.65,-90.0,top
J1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,102.2,-100.0,90.0,top
J2,GCode_Buttons_A,JUSHUO AFC11-S08ICC-00,128.0,-107.7,0.0,top
J3,GCode_Buttons_B,JUSHUO AFC11-S08ICC-00,139.0,-107.7,0.0,top
J4,CAN,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,146.075,-101.25,90.0,top
J5,I2C,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,141.2,-92.35,0.0,top
J6,SPI,C145963,132.95,-92.35,180.0,top
J7,SWD,C145962,124.2,-92.35,180.0,top
JP2,CAN,PinHeader_1x02_P2.54mm_Vertical,138.0,-98.875,90.0,top
R1,10k,R_0402_1005Metric,124.15,-100.95,0.0,top
R2,DNP,R_0402_1005Metric,136.05,-97.4,90.0,top
R3,DNP,R_0402_1005Metric,134.6,-103.7,90.0,top
R4,10k,R_0402_1005Metric,118.5,-94.15,180.0,top
R5,120R,R_0402_1005Metric,136.1,-101.1,90.0,top
R6,1k,R_0402_1005Metric,141.8,-97.05,-90.0,top
R7,1k,R_0402_1005Metric,141.8,-102.95,90.0,top
R8,1k,R_0402_1005Metric,112.0,-91.7,180.0,top
R9,100R,R_0402_1005Metric,116.1,-109.3,0.0,top
SW1,SW_Push,SW_SPST_1TS003B-1400-3500A-CT,107.7,-91.4,0.0,top
SW2,SW_Push,SW_SPST_1TS003B-1400-3500A-CT,116.3,-91.4,0.0,top
U1,STM32F072C8T6,LQFP-48_7x7mm_P0.5mm,118.0,-101.05,180.0,top
U2,MCP2551-I-SN,SOIC-8_3.9x4.9mm_P1.27mm,131.65,-100.0,-90.0,top
U3,USBLC6-2SC6,SOT-23-6,109.8,-100.0,180.0,top
U4,74LVC1G17GW,SOT-353_SC-70-5,109.8,-104.25,180.0,top
U5,TLV74333PDBVR,SOT-23-5,109.8,-96.4,180.0,top
U6,74LVC1G17GW,SOT-353_SC-70-5,109.8,-108.15,180.0,top
U7,74LVC1G17GW,SOT-353_SC-70-5,113.5,-108.15,180.0,top
